Transaction_ID,Date,Amount,Vendor_Name,Employee_ID,Account_Code,Department,Approval_Status
TXN00033,2023-04-11,830.88,Enterprise Rent-A-Car,EMP278,8000,Procurement,Approved
TXN00034,2023-05-01,29.91,Grainger,EMP412,6100,HR,Approved
TXN00035,2023-04-08,3416.44,Canon,EMP821,8000,Finance,Approved
TXN00036,2023-05-20,673.21,USPS,EMP409,6500,Legal,Pending
TXN00037,2023-12-25,2856.01,Office Depot,EMP533,6500,Marketing,Approved
TXN00038,2023-03-12,9533.05,Salesforce,EMP985,6600,IT,Rejected
TXN00039,2023-10-10,173.61,HP Inc,EMP478,6300,Marketing,Approved
TXN00040,2023-02-22,9455.2,Amazon Business,EMP854,7200,Procurement,Approved
TXN00041,2023-07-13,112.42,Salesforce,EMP459,6300,HR,Approved
TXN00042,2023-11-21,89.99,Microsoft,EMP524,7100,Finance,Rejected
TXN00043,2023-03-09,24.65,Ricoh,EMP324,7100,Sales,
TXN00044,2023-02-06,92.84,Pitney Bowes,EMP219,6400,Finance,Approved
TXN00045,2023-06-19,9218.12,WeWork,EMP912,7200,HR,
TXN00046,2023-07-21,1718.94,Lenovo,EMP686,6300,Marketing,
TXN00047,2023-10-03,33.46,Staples,EMP943,8000,Operations,
TXN00048,2023-11-18,983.22,FedEx,EMP167,6300,Sales,Approved
TXN00049,2023-03-23,20.07,FedEx,EMP565,6200,Sales,Rejected
TXN00050,2023-07-21,200.0,Dell Technologies,EMP939,6700,Operations,Approved
TXN00051,2023-06-30,809.72,WeWork,EMP732,7200,Marketing,Pending
TXN00052,2023-12-16,21.6,HP Inc,EMP245,6500,Procurement,
TXN00053,2023-11-22,63.29,UPS,EMP849,6400,IT,Pending
TXN00054,2023-02-21,18.63,Staples,EMP280,7200,Legal,Rejected
TXN00055,2023-08-06,61.24,Lenovo,EMP269,8000,Sales,Approved
TXN00056,2023-08-25,254.5,Amazon Business,EMP891,6600,IT,Approved
TXN00057,2023-02-01,206.4,Enterprise Rent-A-Car,EMP572,6200,Marketing,Approved
TXN00058,2023-10-10,441.15,AT&T Business,EMP970,6300,Procurement,Rejected
TXN00059,2023-06-16,59.16,Grubhub Corporate,EMP166,8000,Sales,Approved
TXN00060,2023-08-14,549.13,Amazon Business,EMP981,7200,HR,Approved
TXN00061,2023-11-05,229.82,Lenovo,EMP876,7100,IT,
TXN00062,2023-06-05,1529.21,Zoom Communications,EMP466,6300,HR,Rejected
TXN00063,2023-09-10,40.66,Apple Business,EMP573,6100,Finance,Approved
TXN00064,2023-04-26,718.32,Canon,EMP758,6600,Marketing,Approved
TXN00065,2023-03-29,430.25,USPS,EMP718,6500,HR,Approved
TXN00066,2023-03-09,53.18,Home Depot,EMP259,8000,Marketing,Approved
TXN00067,2023-01-05,605.62,Verizon Business,EMP846,6600,Sales,Approved
TXN00068,2023-09-13,3793.53,WeWork,EMP957,6600,Finance,Pending
TXN00069,2023-12-02,13.99,Pitney Bowes,EMP380,6400,HR,Approved
TXN00070,2023-12-21,63.8,Hilton Hotels,EMP325,6300,HR,Approved
TXN00071,2023-02-04,4085.82,Pitney Bowes,EMP457,7100,Marketing,Pending
TXN00072,2023-07-09,528.08,Delta Airlines,EMP997,6100,IT,Approved
TXN00073,2023-12-13,4999.99,Uline,EMP698,6200,Finance,Pending
TXN00074,2023-12-28,1387.41,,EMP719,8000,Sales,Approved
TXN00075,2023-05-09,4709.64,Verizon Business,EMP834,7200,HR,Pending
TXN00076,2023-12-22,9658.81,Cisco Systems,EMP482,7100,HR,Approved
TXN00077,2023-09-08,55.5,FedEx,EMP612,6600,Finance,
TXN00078,2023-03-16,1762.62,Lenovo,EMP366,6100,Finance,Rejected
TXN00079,2023-10-18,7649.36,Zoom Communications,EMP846,6100,Sales,Approved
TXN00080,2023-05-10,100.47,Cisco Systems,EMP757,7100,Finance,Approved
TXN00081,2023-09-09,5000.0,Delta Airlines,EMP748,6600,Legal,Approved
TXN00082,2023-07-17,140.95,Dell Technologies,EMP382,8000,Sales,
TXN00083,2023-05-23,304.04,Marriott,EMP788,6200,Legal,Pending
TXN00084,2023-03-08,3769.95,Ricoh,EMP765,7100,Finance,Approved
TXN00085,2023-09-03,2499.99,Ricoh,EMP467,6500,Procurement,Pending
TXN00086,2023-02-03,73.37,Pitney Bowes,EMP120,6500,IT,Pending
TXN00087,2023-06-15,221.13,Uber Business,EMP241,8000,Operations,Approved
TXN00088,2023-01-05,898.25,Enterprise Rent-A-Car,,6200,HR,Pending
TXN00089,2023-06-16,654.53,Staples,EMP923,7200,Legal,Approved
TXN00090,2023-04-28,227.94,WeWork,EMP423,6600,Procurement,Rejected
TXN00091,2023-05-20,31.11,Microsoft,EMP138,6500,IT,Approved
TXN00092,2023-07-11,4999.99,Hertz,EMP405,6200,Procurement,Approved
TXN00093,2023-11-10,198.24,Amazon Business,EMP406,8000,Legal,Approved
TXN00094,2023-01-20,1720.54,Zoom Communications,EMP436,6100,IT,Approved
TXN00095,2023-07-22,179.97,Home Depot,EMP643,6100,HR,Approved
TXN00096,2023-04-06,54.57,Office Depot,EMP646,6600,Operations,
TXN00097,2023-09-23,306.35,Grainger,EMP573,6600,Procurement,Approved
TXN00098,2023-06-10,51.71,Cisco Systems,EMP462,6400,Sales,Approved
TXN00099,2023-06-16,11.25,Salesforce,EMP103,6500,Procurement,Approved
TXN00100,2023-05-23,526.07,Regus,EMP693,6500,Marketing,Pending
TXN00101,2023-01-07,1247.5,Salesforce,EMP490,6400,Legal,
TXN00102,2023-01-29,65.26,Lenovo,EMP644,6500,IT,
TXN00103,2023-12-26,124.43,Canon,EMP610,6400,Operations,Rejected
TXN00104,2023-01-09,88.44,HP Inc,EMP392,6400,Legal,Approved
TXN00105,2023-02-17,353.87,Regus,EMP806,7100,Operations,
TXN00106,2023-11-10,143.39,AT&T Business,EMP536,7100,Marketing,Approved
TXN00107,2023-09-27,17.52,Salesforce,EMP476,6100,IT,Approved
TXN00108,2023-04-14,13.37,UPS,EMP726,6600,Operations,
TXN00109,2023-05-07,113.94,USPS,EMP482,7200,Procurement,Rejected
TXN00110,2023-11-13,956.54,Canon,EMP270,6100,Sales,Approved
TXN00111,2023-09-06,1494.86,Pitney Bowes,EMP525,7100,Procurement,
TXN00112,2023-10-08,69.82,UPS,EMP804,6100,Sales,
TXN00113,2023-11-13,17.97,Adobe Systems,EMP927,6100,IT,Pending
TXN00114,2023-08-21,136.61,Uber Business,EMP450,7100,Sales,Approved
TXN00115,2023-07-05,61.46,Staples,EMP967,6700,HR,Approved
TXN00116,2023-03-01,2000.0,Dell Technologies,EMP544,6500,Operations,Approved
TXN00117,2023-06-11,1500.0,Lyft Business,EMP971,6600,Procurement,Approved
TXN00118,2023-08-03,102.22,Hertz,EMP888,6100,IT,Approved
TXN00119,2023-02-20,507.12,Pitney Bowes,EMP650,7200,Marketing,Approved
TXN00120,2023-04-03,2007.06,Ricoh,,6500,Sales,Rejected
TXN00121,2023-07-11,298.1,Pitney Bowes,EMP842,6700,Sales,Approved
TXN00122,2023-03-01,161.87,Xerox,EMP259,6300,Legal,Rejected
TXN00123,2023-08-24,2299.51,Staples,EMP867,6400,Procurement,Approved
TXN00124,2023-05-09,16.63,Pitney Bowes,EMP581,6500,Marketing,
TXN00125,2023-11-22,6267.72,United Airlines,EMP891,6700,IT,Approved
TXN00126,2023-07-09,143.99,Office Depot,EMP537,6500,Sales,Approved
TXN00127,2023-07-19,2500.0,Grubhub Corporate,EMP954,6700,Operations,
TXN00128,2023-08-12,17.2,Dell Technologies,EMP531,6100,Finance,Approved
TXN00129,2023-07-05,172.96,Uline,EMP617,6700,Sales,Approved
TXN00130,2023-11-27,3179.71,Hertz,EMP173,6200,HR,
TXN00131,2023-02-02,5359.27,Hilton Hotels,EMP447,6300,IT,
TXN00132,2023-06-29,3636.3,Lenovo,EMP411,8000,Sales,Approved
TXN00133,2023-02-07,4760.11,Hertz,EMP635,6500,IT,Approved
TXN00134,2023-06-29,4398.17,Marriott,EMP178,6400,Procurement,Approved
TXN00135,2023-12-31,43.91,Grainger,EMP419,6200,IT,Approved
TXN00136,2023-06-10,1554.15,HP Inc,EMP164,6100,Sales,Approved
TXN00137,2023-07-02,563.83,Apple Business,EMP432,7100,Operations,Approved
TXN00138,2023-01-02,28.01,Staples,EMP641,6600,Legal,Pending
TXN00139,2023-04-21,27.44,Dell Technologies,EMP864,6100,IT,Approved
TXN00140,2023-07-16,207.57,Uline,EMP542,6600,Marketing,Rejected
TXN00141,2023-06-24,30.99,Adobe Systems,EMP825,7200,Legal,Rejected
TXN00142,2023-10-07,34.85,United Airlines,EMP483,7200,IT,Pending
TXN00143,2023-12-21,153.61,Ricoh,,6300,HR,Approved
TXN00144,2023-03-14,547.94,Canon,EMP657,6100,Procurement,Approved
TXN00145,2023-01-14,8149.69,Verizon Business,EMP297,6100,Sales,Approved
TXN00146,2023-09-02,2499.99,Office Depot,EMP138,7200,HR,Rejected
TXN00147,2023-09-01,1236.94,Marriott,EMP267,8000,Operations,Approved
TXN00148,2023-05-29,155.43,UPS,EMP161,6700,Operations,
TXN00149,2023-02-25,2176.48,Marriott,EMP638,8000,Finance,Rejected
TXN00150,2023-01-16,4373.93,HP Inc,EMP798,6300,Finance,Approved
TXN00151,2023-08-26,29.91,Dell Technologies,,7100,Marketing,Approved
TXN00152,2023-02-23,55.67,Office Depot,EMP953,7200,Sales,Pending
TXN00153,2023-07-17,206.83,Cisco Systems,EMP581,6400,HR,Approved
TXN00154,2023-12-24,3229.28,Home Depot,EMP911,6600,Sales,Pending
TXN00155,2023-08-24,88.17,United Airlines,EMP171,7200,IT,Approved
TXN00156,2023-04-27,397.05,Grubhub Corporate,EMP572,6300,Operations,Pending
TXN00157,2023-12-17,5394.62,Dell Technologies,EMP274,6200,Finance,Approved
TXN00158,2023-12-08,3698.3,,EMP808,6600,Marketing,Approved
TXN00159,2023-07-08,7688.96,Seamless,EMP737,6700,Operations,Approved
TXN00160,2023-01-08,1247.5,USPS,EMP432,6500,IT,Approved
TXN00161,2023-01-08,2796.33,Delta Airlines,EMP427,6300,Procurement,Approved
TXN00162,2023-05-02,20.72,WeWork,EMP890,6700,Legal,Approved
TXN00163,2023-08-11,8615.35,Grainger,EMP185,6600,Sales,Approved
TXN00164,2023-12-28,5722.04,Salesforce,EMP833,7100,Legal,Approved
TXN00165,2023-04-15,33.09,USPS,EMP961,6700,Marketing,Approved
TXN00166,2023-09-11,122.93,AT&T Business,EMP582,6600,Legal,Approved
TXN00167,2023-12-10,595.59,Uber Business,EMP512,6200,IT,Approved
TXN00168,2023-07-24,741.81,Hilton Hotels,EMP205,6600,HR,
TXN00169,2023-04-14,359.01,Delta Airlines,EMP580,6100,Legal,Approved
TXN00170,2023-10-25,6856.66,USPS,EMP246,7200,Finance,Pending
TXN00171,2023-02-24,497.15,Lenovo,EMP145,8000,Procurement,Rejected
TXN00172,2023-10-13,951.12,Uber Business,EMP281,6300,Procurement,Approved
TXN00173,2023-09-17,31.47,Zoom Communications,EMP417,6300,Marketing,Approved
TXN00174,2023-09-09,196.11,FedEx,EMP712,6700,HR,Rejected
TXN00175,2023-03-02,367.57,Home Depot,EMP756,6700,Operations,Approved
TXN00176,2023-01-16,573.15,Grubhub Corporate,EMP127,6700,IT,Pending
TXN00177,2023-07-02,58.4,Microsoft,EMP424,6300,Operations,Approved
TXN00178,2023-08-07,12.09,Apple Business,EMP208,6200,Procurement,
TXN00179,2023-12-05,1715.0,Hilton Hotels,,6500,Procurement,Approved
TXN00180,2023-04-26,1163.61,Staples,EMP410,6700,Marketing,Approved
TXN00181,2023-06-11,6646.08,Canon,EMP997,6200,HR,Approved
TXN00182,2023-11-20,54.83,Pitney Bowes,EMP786,6600,Operations,Approved
TXN00183,2023-12-30,15.26,Lyft Business,EMP930,6300,Sales,Approved
TXN00184,2023-03-31,4494.7,Home Depot,EMP784,6100,Legal,Approved
TXN00185,2023-02-08,1151.62,Grubhub Corporate,EMP448,6400,IT,Approved
TXN00186,2023-04-07,44.22,Microsoft,EMP584,6300,Finance,Approved
TXN00187,2023-10-26,34.7,Uline,EMP699,6600,HR,Rejected
TXN00188,2023-12-28,199.83,Amazon Business,EMP348,6600,Procurement,Rejected
TXN00189,2023-06-13,5000.0,Marriott,EMP126,6100,Marketing,Approved
TXN00190,2023-07-06,499.99,Marriott,EMP964,7100,Sales,Pending
TXN00191,2023-06-19,453.9,Zoom Communications,EMP397,6600,IT,Approved
TXN00192,2023-02-19,41.74,Apple Business,EMP244,6300,Finance,Pending
TXN00193,2023-12-08,177.56,Microsoft,EMP745,7200,Finance,Pending
TXN00194,2023-04-10,923.24,Staples,EMP973,6600,Sales,Rejected
TXN00195,2023-02-28,2764.32,Ricoh,EMP314,6100,IT,Rejected
TXN00196,2023-08-12,18.54,Hertz,EMP491,6100,Marketing,Approved
TXN00197,2023-04-05,24.86,Grainger,EMP716,6100,Procurement,Approved
TXN00198,2023-05-26,873.7,Home Depot,EMP629,6700,HR,Approved
TXN00199,2023-10-19,3684.99,Cisco Systems,EMP365,6500,HR,
TXN00200,2023-11-01,4315.7,Apple Business,EMP739,8000,Operations,Approved
TXN00201,2023-12-30,390.97,Seamless,EMP256,6700,Procurement,Rejected
TXN00202,2023-12-15,1661.02,Marriott,EMP864,6100,IT,Approved
TXN00203,2023-08-05,2776.86,AT&T Business,EMP728,6100,Operations,Approved
TXN00204,2023-12-07,36.69,HP Inc,EMP921,8000,Finance,Pending
TXN00205,2023-11-08,2364.02,Staples,EMP678,6300,Marketing,Approved
TXN00206,2023-06-13,5000.0,Lyft Business,EMP689,6400,Marketing,Approved
TXN00207,2023-02-08,60.9,Office Depot,EMP876,6200,Finance,
TXN00208,2023-04-22,5989.42,WeWork,EMP834,6100,Sales,Approved
TXN00209,2023-06-21,1250.43,Enterprise Rent-A-Car,EMP336,6200,Sales,Pending
TXN00210,2023-03-13,633.58,USPS,EMP821,8000,Finance,Rejected
TXN00211,2023-12-26,923.36,Uline,,6300,Procurement,Approved
TXN00212,2023-12-10,3887.02,,EMP302,6200,Procurement,Pending
TXN00213,2023-01-11,647.85,Dell Technologies,EMP965,6700,Marketing,Rejected
TXN00214,2023-11-23,2737.97,Zoom Communications,EMP723,6700,IT,Approved
TXN00215,2023-09-28,1246.5,Uber Business,EMP866,7100,Legal,Rejected
TXN00216,2023-04-21,6984.06,Hertz,EMP427,7200,Finance,
TXN00217,2023-08-14,2000.0,Office Depot,EMP261,6700,HR,Rejected
TXN00218,2023-07-28,586.09,Microsoft,EMP118,7100,Legal,Approved
TXN00219,2023-02-11,2537.32,Regus,EMP681,6200,Legal,Approved
TXN00220,2023-04-09,578.85,Amazon Business,EMP617,6200,Sales,Approved
TXN00221,2023-01-10,121.6,Uber Business,EMP592,8000,Marketing,Rejected
TXN00222,2023-05-05,1580.56,United Airlines,EMP262,6600,Legal,Rejected
TXN00223,2023-03-15,19.44,Dell Technologies,EMP616,7100,Legal,
TXN00224,2023-03-07,78.64,AT&T Business,EMP405,6500,Procurement,Approved
TXN00225,2023-11-20,106.39,Delta Airlines,EMP696,6100,Sales,Approved
TXN00226,2023-08-19,6786.05,Hertz,EMP621,7100,Procurement,Pending
TXN00227,2023-11-24,5536.45,Pitney Bowes,,6300,Procurement,Rejected
TXN00228,2023-10-11,4936.2,Zoom Communications,EMP564,6700,Operations,Approved
TXN00229,2023-08-09,213.42,Canon,EMP622,6200,Sales,Approved
TXN00230,2023-11-26,35.83,Cisco Systems,EMP911,7100,Marketing,Rejected
TXN00231,2023-11-14,331.68,Lenovo,EMP957,6600,Marketing,Pending
TXN00232,2023-09-17,70.99,Canon,EMP900,6600,IT,Approved
TXN00233,2023-03-19,4186.51,Uber Business,EMP944,8000,HR,Pending
TXN00234,2023-10-13,12.31,FedEx,EMP973,8000,Operations,Approved
TXN00235,2023-04-06,144.28,Apple Business,EMP976,6700,HR,Approved
TXN00236,2023-04-03,1116.48,Hilton Hotels,EMP161,6300,Finance,Approved
TXN00237,2023-06-30,1247.5,Lyft Business,EMP553,7200,Sales,
TXN00238,2023-03-03,184.85,Lenovo,EMP797,6200,Legal,Approved
TXN00239,2023-02-23,1728.1,Seamless,EMP529,6700,Sales,Approved
TXN00240,2023-03-24,9555.42,Apple Business,EMP244,7200,Sales,Approved
TXN00241,2023-05-04,82.68,Hertz,EMP111,6500,Legal,Rejected
TXN00242,2023-02-24,248.18,Adobe Systems,EMP954,6600,IT,Rejected
TXN00243,2023-04-01,339.31,Home Depot,EMP342,7200,Marketing,Approved
TXN00244,2023-01-29,6218.25,Verizon Business,EMP466,6100,Finance,Approved
TXN00245,2023-07-22,17.0,Delta Airlines,EMP519,7200,Legal,Approved
TXN00246,2023-02-19,681.26,Marriott,EMP698,6300,IT,Rejected
TXN00247,2023-09-06,2250.5,Seamless,EMP976,6300,Sales,Pending
TXN00248,2023-06-06,3391.62,Zoom Communications,EMP294,6400,Sales,
TXN00249,2023-09-29,24.33,Hilton Hotels,EMP508,6100,Finance,Rejected
TXN00250,2023-09-16,3779.96,Xerox,EMP100,6500,Finance,Approved
TXN00251,2023-05-20,6686.19,Enterprise Rent-A-Car,EMP230,7100,Operations,
TXN00252,2023-04-08,1142.66,Delta Airlines,EMP825,6400,Legal,Approved
TXN00253,2023-03-27,1000.0,USPS,EMP680,6500,IT,Pending
TXN00254,2023-11-25,1824.02,FedEx,EMP664,6300,HR,Approved
TXN00255,2023-12-28,21.91,Uline,EMP768,7200,Sales,Pending
TXN00256,2023-07-03,265.39,Apple Business,EMP780,6400,Operations,Approved
TXN00257,2023-04-25,13.83,Pitney Bowes,EMP838,7200,Procurement,Approved
TXN00258,2023-11-15,3190.27,United Airlines,EMP869,7200,IT,Approved
TXN00259,2023-04-29,4125.06,Dell Technologies,EMP168,8000,Operations,Approved
TXN00260,2023-04-27,69.42,Pitney Bowes,EMP946,6200,Sales,Rejected
TXN00261,2023-04-01,5194.19,Seamless,EMP654,6400,Operations,Approved
TXN00262,2023-03-29,399.36,Staples,EMP503,7200,IT,Approved
TXN00263,2023-12-24,4266.81,Xerox,EMP995,6300,Operations,Approved
TXN00264,2023-09-18,151.53,AT&T Business,EMP206,6400,Finance,Approved
TXN00265,2023-06-20,13.54,Zoom Communications,EMP351,6200,HR,Approved
TXN00266,2023-05-29,71.99,WeWork,EMP166,6100,Procurement,Approved
TXN00267,2023-07-28,217.32,Apple Business,EMP775,6100,Marketing,Approved
TXN00268,2023-10-22,10.26,Lenovo,EMP500,7100,Legal,Approved
TXN00269,2023-02-14,1605.69,Ricoh,EMP608,6700,Operations,Pending
TXN00270,2023-09-05,31.29,Amazon Business,EMP439,6400,Marketing,Approved
TXN00271,2023-01-21,80.9,Marriott,EMP866,7200,Procurement,Rejected
TXN00272,2023-12-30,1380.16,AT&T Business,EMP544,6600,Operations,Approved
TXN00273,2023-02-05,352.38,Salesforce,EMP302,7200,IT,Approved
TXN00274,2023-01-10,58.32,Office Depot,EMP702,6200,IT,Rejected
TXN00275,2023-03-24,98.07,Zoom Communications,EMP970,6300,Operations,Approved
TXN00276,2023-03-05,951.99,Dell Technologies,EMP668,6300,Legal,Approved
TXN00277,2023-07-25,299.03,AT&T Business,EMP274,6700,Sales,Approved
TXN00278,2023-06-14,13.87,WeWork,EMP823,6600,HR,Rejected
TXN00279,2023-07-21,3005.71,,EMP704,6700,Legal,Approved
TXN00280,2023-02-03,267.57,Seamless,EMP988,6600,Operations,
TXN00281,2023-11-20,13.43,Lyft Business,EMP448,7100,Finance,Approved
TXN00282,2023-05-22,6564.63,Uline,EMP478,6700,Operations,Approved
TXN00283,2023-03-30,17.08,FedEx,EMP651,6500,Marketing,Approved
TXN00284,2023-10-27,7089.68,Dell Technologies,EMP994,6300,Finance,
TXN00285,2023-07-17,17.85,Grainger,EMP542,6300,Finance,Approved
TXN00286,2023-07-22,400.31,Cisco Systems,EMP106,6700,Marketing,Approved
TXN00287,2023-03-03,811.89,Lyft Business,,6400,Finance,
TXN00288,2023-04-15,1695.08,Office Depot,EMP134,6500,HR,Approved
TXN00289,2023-08-13,132.0,Dell Technologies,EMP964,6600,Sales,Approved
TXN00290,2023-09-24,107.91,Grubhub Corporate,,6200,Marketing,Approved
TXN00291,2023-12-11,661.3,Zoom Communications,EMP762,6600,Legal,Approved
TXN00292,2023-11-15,72.96,Grubhub Corporate,EMP204,6400,Marketing,Approved
TXN00293,2023-03-06,4549.91,Office Depot,EMP583,7100,HR,Pending
TXN00294,2023-11-18,36.82,Office Depot,EMP522,7200,Operations,Approved
TXN00295,2023-10-27,2168.62,HP Inc,EMP344,6400,Marketing,
TXN00296,2023-05-23,57.85,Home Depot,EMP276,6500,Marketing,Approved
TXN00297,2023-07-19,25.62,Verizon Business,EMP658,6600,Operations,Approved
TXN00298,2023-11-01,7547.92,Dell Technologies,EMP727,6700,Operations,Approved
TXN00299,2023-06-21,55.56,UPS,EMP541,6300,Marketing,
TXN00300,2023-08-13,1099.81,USPS,EMP917,7200,Finance,Approved
TXN00301,2023-04-23,104.6,Amazon Business,EMP845,6500,Procurement,Approved
TXN00302,2023-11-16,44.23,Hilton Hotels,EMP344,6500,IT,Approved
TXN00303,2023-07-12,145.85,Verizon Business,EMP377,6600,HR,
TXN00304,2023-09-19,848.22,Pitney Bowes,EMP195,7200,Procurement,Rejected
TXN00305,2023-09-12,118.37,WeWork,EMP660,6100,Procurement,
TXN00306,2023-12-23,993.7,Hilton Hotels,EMP160,7100,IT,Approved
TXN00307,2023-11-28,1009.14,USPS,EMP193,7200,Procurement,Rejected
TXN00308,2023-03-23,49.39,Dell Technologies,EMP788,6700,Procurement,Pending
TXN00309,2023-03-26,1542.82,Hilton Hotels,EMP147,6500,Legal,Approved
TXN00310,2023-12-23,27.49,Xerox,EMP663,6200,HR,Approved
TXN00311,2023-06-12,11.03,Canon,EMP943,6300,Procurement,
TXN00312,2023-07-01,7925.03,Seamless,EMP980,7100,Legal,Approved
TXN00313,2023-12-13,24.57,Pitney Bowes,EMP305,6700,Finance,Rejected
TXN00314,2023-08-21,70.72,Enterprise Rent-A-Car,EMP185,6300,Sales,Rejected
TXN00315,2023-02-24,200.0,Office Depot,EMP469,6500,Procurement,Approved
TXN00316,2023-11-07,137.5,AT&T Business,,7100,Finance,Approved
TXN00317,2023-11-27,227.39,Microsoft,EMP555,7200,Legal,Approved
TXN00318,2023-06-19,415.22,Enterprise Rent-A-Car,EMP797,6700,Legal,Pending
TXN00319,2023-06-17,168.74,Lyft Business,EMP141,6200,Marketing,Approved
TXN00320,2023-05-17,117.25,Cisco Systems,EMP858,6300,Marketing,Approved
TXN00321,2023-06-16,78.17,Amazon Business,,8000,IT,Approved
TXN00322,2023-09-17,2401.47,Salesforce,EMP443,8000,Marketing,
TXN00323,2023-02-24,2003.06,Verizon Business,EMP682,6600,HR,Rejected
TXN00324,2023-08-03,1280.22,Hilton Hotels,EMP257,6400,Procurement,Approved
TXN00325,2023-04-07,531.68,Hertz,EMP806,7100,Legal,Approved
TXN00326,2023-07-21,1247.5,USPS,EMP601,6100,Sales,Rejected
TXN00327,2023-10-03,644.78,USPS,EMP638,6700,Procurement,Approved
TXN00328,2023-07-06,200.0,Regus,EMP502,8000,Operations,Rejected
TXN00329,2023-08-17,97.94,Zoom Communications,EMP774,7100,Sales,Pending
TXN00330,2023-11-14,1814.7,Marriott,EMP904,6400,Marketing,Approved
TXN00331,2023-01-18,56.66,Hertz,EMP453,6500,Operations,
TXN00332,2023-05-05,7315.58,HP Inc,EMP783,6200,Finance,
TXN00333,2023-11-14,150.38,Home Depot,EMP377,6400,IT,Approved
TXN00334,2023-10-08,63.92,Office Depot,EMP804,6100,IT,Approved
TXN00335,2023-11-09,14.33,Seamless,EMP590,8000,IT,Rejected
TXN00336,2023-06-10,705.89,Grubhub Corporate,EMP105,6700,Procurement,Approved
TXN00337,2023-02-03,308.14,Salesforce,EMP892,6400,Sales,Pending
TXN00338,2023-03-05,13.3,Dell Technologies,EMP322,7200,HR,Approved
TXN00339,2023-04-29,767.56,FedEx,EMP609,6100,IT,Rejected
TXN00340,2023-06-08,195.69,Delta Airlines,EMP194,6200,Marketing,Approved
TXN00341,2023-12-22,407.08,FedEx,EMP368,6300,Sales,Approved
TXN00342,2023-07-31,114.89,Canon,EMP592,8000,Finance,Approved
TXN00343,2023-07-25,1247.5,Apple Business,EMP663,6600,Operations,Pending
TXN00344,2023-11-04,26.09,FedEx,EMP260,6100,Marketing,Approved
TXN00345,2023-05-03,161.84,Staples,EMP586,7100,Sales,Approved
TXN00346,2023-09-03,1927.75,HP Inc,EMP981,6600,Marketing,
TXN00347,2023-03-25,2937.01,Xerox,EMP542,6400,HR,Approved
TXN00348,2023-09-02,42.0,Marriott,EMP986,6100,Finance,Approved
TXN00349,2023-10-09,1247.5,United Airlines,EMP484,6600,Procurement,Approved
TXN00350,2023-05-24,102.7,Cisco Systems,EMP625,6500,Procurement,Approved
TXN00351,2023-07-31,3463.08,Staples,EMP472,6300,Finance,Pending
TXN00352,2023-08-08,458.93,Hilton Hotels,EMP556,7200,Legal,Pending
TXN00353,2023-07-09,160.01,Lyft Business,EMP358,6400,IT,Rejected
